date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:08	121/121	---M-Z	200	added ('OK')	text/plain	etag:%222600-1682724116;gz%22	https://helping.ca/robots.txt		(from )
13:06:13	57846/57846	---M-Z	200	added ('OK')	text/html	etag:%222601-1682724127;gz%22	https://helping.ca/	C:/My%20Web%20Sites/Helping.ca/helping.ca/index.html	(from )
13:06:14	933764/933764	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Apr%202023%2019:45:10%20GMT	https://helping.ca/wp-content/litespeed/css/2605fd8fb5b9bb94d517799c2b13e6b3.css?ver=c0275	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/litespeed/css/2605fd8fb5b9bb94d517799c2b13e6b326f2.css	(from https://helping.ca/)
13:06:14	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2002%20May%202023%2012:06:14%20GMT	https://helping.ca/xmlrpc.php	C:/My%20Web%20Sites/Helping.ca/helping.ca/xmlrpc.1.delayed	(from https://helping.ca/)
13:06:15	89684/89684	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2007%20Apr%202023%2005:00:37%20GMT	https://helping.ca/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-includes/js/jquery/jquery.mina7a0.js	(from https://helping.ca/)
13:06:17	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20May%202023%2011:36:54%20GMT	https://helping.ca/wp-content/litespeed/js/7aabf7417d6a07d0cc16a7e93882e847.js?ver=1bf5b	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/litespeed/js/7aabf7417d6a07d0cc16a7e93882e8473278.js	(from https://helping.ca/)
13:06:17	1125/1125	---M-Z	200	added ('OK')	application/rss+xml	etag:%224f0deb9ba18141c157974dd411498daf%22	https://helping.ca/feed/	C:/My%20Web%20Sites/Helping.ca/helping.ca/feed/index.html	(from https://helping.ca/)
13:06:17	819/819	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20May%202023%2011:36:54%20GMT	https://helping.ca/wp-content/litespeed/js/a55caff7f9b627346d8582b1d888f120.js?ver=8f120	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/litespeed/js/a55caff7f9b627346d8582b1d888f1206e82.js	(from https://helping.ca/)
13:06:18	782/782	---M-Z	200	added ('OK')	application/rss+xml	etag:%224f0deb9ba18141c157974dd411498daf%22	https://helping.ca/comments/feed/	C:/My%20Web%20Sites/Helping.ca/helping.ca/comments/feed/index.html	(from https://helping.ca/)
13:06:18	43188/43188	---MCZ	200	added ('OK')	application/json	etag:%222795-1683029178;gz%22	https://helping.ca/wp-json/wp/v2/pages/41	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-json/wp/v2/pages/41.json	(from https://helping.ca/)
13:06:18	204243/204243	---MCZ	200	added ('OK')	application/json	etag:%222796-1683029178;gz%22	https://helping.ca/wp-json/	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-json/index.html	(from https://helping.ca/)
13:06:18	775/775	---M-Z	200	added ('OK')	text/xml	date:Tue,%2002%20May%202023%2012:06:18%20GMT	https://helping.ca/xmlrpc.php?rsd	C:/My%20Web%20Sites/Helping.ca/helping.ca/xmlrpc0db0.php	(from https://helping.ca/)
13:06:19	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Fri,%2007%20Apr%202023%2005:00:37%20GMT	https://helping.ca/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-includes/wlwmanifest.xml	(from https://helping.ca/)
13:06:19	2788/2788	---M-Z	200	added ('OK')	application/json	etag:%222797-1683029179;gz%22	https://helping.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhelping.ca%2F	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-json/oembed/1.0/embed86ec.json	(from https://helping.ca/)
13:06:20	2910/2910	---M-Z	200	added ('OK')	text/xml	etag:%222798-1683029179;gz%22	https://helping.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhelping.ca%2F&format=xml	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-json/oembed/1.0/embed9ccb	(from https://helping.ca/)
13:06:20	1141/1141	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202019%2000:47:10%20GMT	https://helping.ca/wp-content/uploads/2019/10/cropped-Helping-Hands-logo-resized-32x32.jpg	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/10/cropped-Helping-Hands-logo-resized-32x32.jpg	(from https://helping.ca/)
13:06:20	7631/7631	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202019%2000:47:10%20GMT	https://helping.ca/wp-content/uploads/2019/10/cropped-Helping-Hands-logo-resized-192x192.jpg	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/10/cropped-Helping-Hands-logo-resized-192x192.jpg	(from https://helping.ca/)
13:06:20	6980/6980	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202019%2000:47:10%20GMT	https://helping.ca/wp-content/uploads/2019/10/cropped-Helping-Hands-logo-resized-180x180.jpg	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/10/cropped-Helping-Hands-logo-resized-180x180.jpg	(from https://helping.ca/)
13:06:20	13973/13973	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jun%202019%2016:23:32%20GMT	https://helping.ca/wp-content/uploads/2019/06/Helping-Hands-logo-resized.jpg	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/06/Helping-Hands-logo-resized.jpg	(from https://helping.ca/)
13:06:21	53437/53437	---M-Z	200	added ('OK')	text/html	etag:%222617-1682746662;gz%22	https://helping.ca/our-history/	C:/My%20Web%20Sites/Helping.ca/helping.ca/our-history/index.html	(from https://helping.ca/)
13:06:22	299435/299435	---M--	200	added ('OK')	application/pdf	date:Thu,%2017%20Mar%202022%2020:38:03%20GMT	https://helping.ca/wp-content/uploads/2022/03/FINAL-Colour-2022-Helping-Hands-Care-Group-Price-List.pdf	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2022/03/FINAL-Colour-2022-Helping-Hands-Care-Group-Price-List.pdf	(from https://helping.ca/)
13:06:22	99665/99665	---M--	200	added ('OK')	application/pdf	date:Mon,%2018%20Nov%202019%2022:52:16%20GMT	https://helping.ca/wp-content/uploads/2019/11/Bridging-Services-Request-August-2019.pdf	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/11/Bridging-Services-Request-August-2019.pdf	(from https://helping.ca/)
13:06:22	36853/36853	---M-Z	200	added ('OK')	text/html	etag:%222690-1682860270;gz%22	https://helping.ca/partners/	C:/My%20Web%20Sites/Helping.ca/helping.ca/partners/index.html	(from https://helping.ca/)
13:06:23	62127/62127	---MCZ	200	added ('OK')	text/html	etag:%222716-1682903684;gz%22	https://helping.ca/common-spaces/	C:/My%20Web%20Sites/Helping.ca/helping.ca/common-spaces/index.html	(from https://helping.ca/)
13:06:23	12066/12066	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202019%2017:53:45%20GMT	https://helping.ca/wp-content/uploads/2019/06/regina-footer.jpg	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/06/regina-footer.jpg	(from https://helping.ca/)
13:06:23	14174/14174	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202019%2017:53:44%20GMT	https://helping.ca/wp-content/uploads/2019/06/grenfell-footer.jpg	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/06/grenfell-footer.jpg	(from https://helping.ca/)
13:06:24	45405/45405	---MCZ	200	added ('OK')	text/html	etag:%222658-1682809869;gz%22	https://helping.ca/outdoors-spaces/	C:/My%20Web%20Sites/Helping.ca/helping.ca/outdoors-spaces/index.html	(from https://helping.ca/)
13:06:24	567166/567166	---M--	200	added ('OK')	application/pdf	date:Tue,%2019%20Nov%202019%2001:18:51%20GMT	https://helping.ca/wp-content/uploads/2019/11/HH-CH-and-BR-Brochure-August-18-2019.pdf	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/uploads/2019/11/HH-CH-and-BR-Brochure-August-18-2019.pdf	(from https://helping.ca/)
13:06:24	51404/51404	---M-Z	200	added ('OK')	text/html	etag:%222656-1682807381;gz%22	https://helping.ca/owneroperator/	C:/My%20Web%20Sites/Helping.ca/helping.ca/owneroperator/index.html	(from https://helping.ca/)
13:06:24	45959/45959	---M-Z	200	added ('OK')	text/html	etag:%222635-1682775758;gz%22	https://helping.ca/meals/	C:/My%20Web%20Sites/Helping.ca/helping.ca/meals/index.html	(from https://helping.ca/)
13:06:24	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20May%202023%2012:06:24%20GMT	https://alzheimer.ca/sites/default/files/images/logos/wordmark_sk_en.jpg	C:/My%20Web%20Sites/Helping.ca/alzheimer.ca/sites/default/files/images/logos/wordmark_sk_en.13.delayed	(from https://helping.ca/)
13:06:24	45761/45761	---M-Z	200	added ('OK')	text/html	etag:%222689-1682859960;gz%22	https://helping.ca/recreation/	C:/My%20Web%20Sites/Helping.ca/helping.ca/recreation/index.html	(from https://helping.ca/)
13:06:24	48205/48205	---MCZ	200	added ('OK')	text/html	etag:%222651-1682800952;gz%22	https://helping.ca/medical-care/	C:/My%20Web%20Sites/Helping.ca/helping.ca/medical-care/index.html	(from https://helping.ca/)
13:06:25	44346/44346	---M-Z	200	added ('OK')	text/html	etag:%222686-1682856905;gz%22	https://helping.ca/palliative-care/	C:/My%20Web%20Sites/Helping.ca/helping.ca/palliative-care/index.html	(from https://helping.ca/)
13:06:25	116416/116416	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Sep%202022%2003:45:06%20GMT	https://helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.eot?87visu	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.eot	(from https://helping.ca/)
13:06:26	49063/49063	---MCZ	200	added ('OK')	text/html	etag:%222717-1682903736;gz%22	https://helping.ca/personal-effects/	C:/My%20Web%20Sites/Helping.ca/helping.ca/personal-effects/index.html	(from https://helping.ca/)
13:06:26	45805/45805	---M-Z	200	added ('OK')	text/html	etag:%222603-1682725417;gz%22	https://helping.ca/hygiene/	C:/My%20Web%20Sites/Helping.ca/helping.ca/hygiene/index.html	(from https://helping.ca/)
13:06:27	45892/45892	---M-Z	200	added ('OK')	text/html	etag:%222627-1682762837;gz%22	https://helping.ca/visitation/	C:/My%20Web%20Sites/Helping.ca/helping.ca/visitation/index.html	(from https://helping.ca/)
13:06:27	64512/64512	---M--	200	added ('OK')	font/woff2	date:Tue,%2027%20Sep%202022%2003:45:06%20GMT	https://helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.woff2?87visu	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.woff2	(from https://helping.ca/)
13:06:28	116252/116252	---M--	200	added ('OK')	font/truetype	date:Tue,%2027%20Sep%202022%2003:45:06%20GMT	https://helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.ttf?87visu	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.ttf	(from https://helping.ca/)
13:06:28	116328/116328	---M--	200	added ('OK')	font/woff	date:Tue,%2027%20Sep%202022%2003:45:06%20GMT	https://helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.woff?87visu	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.woff	(from https://helping.ca/)
13:06:28	45119/45119	---MCZ	200	added ('OK')	text/html	etag:%222799-1683029188;gz%22	https://helping.ca/safetysecurity/	C:/My%20Web%20Sites/Helping.ca/helping.ca/safetysecurity/index.html	(from https://helping.ca/)
13:06:29	46214/46214	---MCZ	200	added ('OK')	text/html	etag:%222703-1682881716;gz%22	https://helping.ca/personalized-services/	C:/My%20Web%20Sites/Helping.ca/helping.ca/personalized-services/index.html	(from https://helping.ca/)
13:06:29	47711/47711	---MCZ	200	added ('OK')	text/html	etag:%222749-1682957614;gz%22	https://helping.ca/bridging-program/	C:/My%20Web%20Sites/Helping.ca/helping.ca/bridging-program/index.html	(from https://helping.ca/)
13:06:29	322884/322884	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2027%20Sep%202022%2003:45:06%20GMT	https://helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon.svg?87visu	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/plugins/divi-booster/core/icons/socicon/fonts/Socicon397f.svg	(from https://helping.ca/)
13:06:29	51965/51965	---MCZ	200	added ('OK')	text/html	etag:%222750-1682957626;gz%22	https://helping.ca/how-we-can-help/	C:/My%20Web%20Sites/Helping.ca/helping.ca/how-we-can-help/index.html	(from https://helping.ca/)
13:06:30	48291/48291	---MCZ	200	added ('OK')	text/html	etag:%222746-1682954329;gz%22	https://helping.ca/client-security/	C:/My%20Web%20Sites/Helping.ca/helping.ca/client-security/index.html	(from https://helping.ca/)
13:06:30	44400/44400	---MCZ	200	added ('OK')	text/html	etag:%222800-1683029190;gz%22	https://helping.ca/accessibility/	C:/My%20Web%20Sites/Helping.ca/helping.ca/accessibility/index.html	(from https://helping.ca/)
13:06:30	308307/308307	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20May%202023%2012:06:27%20GMT	https://helping.ca/wp-content/litespeed/js/6ad9fe4ef1f4dc74f2dafbedb10793bd.js?ver=950d5	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/litespeed/js/6ad9fe4ef1f4dc74f2dafbedb10793bd70d1.js	(from https://helping.ca/)
13:06:30	908/908	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2002%20May%202023%2012:06:30%20GMT	https://helping.ca/wp-content/litespeed/js/9caaf77200762196e95f2da7c66009b4.js?ver=9c44b	C:/My%20Web%20Sites/Helping.ca/helping.ca/wp-content/litespeed/js/9caaf77200762196e95f2da7c66009b481b5.js	(from https://helping.ca/)
13:06:31	48191/48191	---M-Z	200	added ('OK')	text/html	etag:%222754-1682962958;gz%22	https://helping.ca/access-bridging-program/	C:/My%20Web%20Sites/Helping.ca/helping.ca/access-bridging-program/index.html	(from https://helping.ca/)
13:06:31	56521/56521	---MCZ	200	added ('OK')	text/html	etag:%222641-1682784965;gz%22	https://helping.ca/our-prices/	C:/My%20Web%20Sites/Helping.ca/helping.ca/our-prices/index.html	(from https://helping.ca/)
